Ticker,Sector,Market Cap,P/E Ratio,Average Return,Volatility
BLUEDART.NS,Industrials,187632156672.0,64.10467,0.0009537957144241219,0.02292327415637926
BLUESTARCO.NS,Industrials,367547121664.0,69.44639,0.0021165820049480408,0.02675200651325981
BODALCHEM.NS,Basic Materials,9698948096.0,320.87503,0.0005284544113169719,0.02435642092317937
BOMDYEING.NS,Consumer Cyclical,46604673024.0,1.5108491,0.002748760126345293,0.031591506092707375
BOROLTD.NS,Consumer Cyclical,56115605504.0,76.30894,0.002698888841790987,0.028429892974025747
BORORENEW.NS,Basic Materials,60994838528.0,,-0.0003187800061998461,0.023059077206313856
BOSCHLTD.NS,Consumer Cyclical,1035797463040.0,40.650276,0.0014042512393036537,0.01663363628916627
BPCL.NS,Energy,1346890366976.0,10.102507,0.0005197116894463082,0.022803157273731847
BPL.NS,Technology,5546500096.0,22.760565,0.0012775900435757518,0.029998253719481234
BRFL.NS,Unknown,,,0.0,0.0
BRIGADE.NS,Real Estate,274556616704.0,52.361435,0.0005411530177021178,0.029065514041640927
BRITANNIA.NS,Consumer Defensive,1384666628096.0,63.2946,0.0009122359265154755,0.011469329372915229
BRNL.NS,Industrials,3893600512.0,,-0.0006710841221538394,0.02597317924155438
BROOKS.NS,Healthcare,3755904512.0,,0.002954592127135768,0.033602231685995756
BSE.NS,Financial Services,635849801728.0,107.53493,0.004780822479775943,0.03872972338735792
BSHSL.NS,Basic Materials,16878066688.0,74.11981,-0.0018740259630951588,0.023418108545243767
BSL.NS,Consumer Cyclical,2429988608.0,21.601097,0.0026446405193940926,0.03006178806781992
BSOFT.NS,Technology,156898721792.0,25.774647,-0.00029554678370797644,0.023544225765331498
BURNPUR.NS,Basic Materials,578755968.0,,0.000970771736684456,0.03838305017759633
BUTTERFLY.NS,Consumer Cyclical,15228928000.0,,0.0009440744389445464,0.03077679293618135
BVCL.NS,Basic Materials,1192429568.0,16.659443,0.00012657276578749923,0.032329848802385396
BYKE.NS,Consumer Cyclical,4053736960.0,51.693333,0.000569138871923933,0.02994627265329651
CALSOFT.NS,Technology,298167488.0,48.225002,0.0021908680740246327,0.031701567401996554
CAMLINFINE.NS,Basic Materials,18771165184.0,,0.0012958692466256009,0.02951925806666302
CAMS.NS,Technology,230341361664.0,54.64574,0.0035938374958220443,0.02770044612668333
CANBK.NS,Financial Services,940626935808.0,5.878118,-5.987875839341508e-05,0.024482018130535747
CANDC.NS,Unknown,,,0.0,0.0
CANFINHOME.NS,Financial Services,113153974272.0,13.792208,0.0013264653968879335,0.021359404906269884
CANTABIL.NS,Consumer Cyclical,18555090944.0,29.778524,0.0012366957201839013,0.027581033027086043
CAPACITE.NS,Industrials,30910095360.0,18.617346,0.002223168474245115,0.029506249629944633
CAPLIPOINT.NS,Healthcare,152920326144.0,31.15206,0.003952772406019083,0.03142737319813949
CAPTRUST.NS,Financial Services,1905556224.0,79.93197,0.00031146564263325046,0.035474581633640416
CARBORUNIV.NS,Industrials,271414362112.0,57.1503,-0.00015986669074268721,0.02108565093694687
CAREERP.NS,Industrials,9314794496.0,15.244524,0.002663325697629842,0.02645764631940744
CARERATING.NS,Financial Services,44462272512.0,38.906044,0.0025212691865327563,0.026065951139367917
CASTROLIND.NS,Energy,204560318464.0,22.776432,0.0009696121535602964,0.028247769079160576
CCHHL.NS,Consumer Cyclical,3998335488.0,,0.004696490163995827,0.0418020706731579
CCL.NS,Consumer Defensive,92164874240.0,33.675755,0.0016935018286673195,0.02410848468662362
CDSL.NS,Financial Services,333720748032.0,62.49511,0.003508629907480063,0.030611149782918172
CEATLTD.NS,Consumer Cyclical,115911786496.0,20.491634,0.0018167356421781495,0.021703215686914818
CELEBRITY.NS,Consumer Cyclical,860156416.0,,-0.001224721237379455,0.032776342668019647
CENTENKA.NS,Consumer Cyclical,14739321856.0,27.543896,0.002203523720375894,0.03421399792578243
CENTEXT.NS,Basic Materials,1901600640.0,24.040815,0.0025997211356970184,0.035352217128741065
CENTRALBK.NS,Financial Services,484483235840.0,14.201018,-0.00046113900399407385,0.027566238357975247
CENTRUM.NS,Financial Services,13646010368.0,,-0.0009859034899332932,0.02957645066345591
CENTUM.NS,Technology,23073019904.0,,-0.00046303065337888676,0.028708521681686118
CENTURYPLY.NS,Basic Materials,185558892544.0,67.572815,0.0022136542650026325,0.018717173720476623
CENTURYTEX.NS,Basic Materials,299747835904.0,116.133934,0.0031926574297430786,0.0316622102210358
CERA.NS,Industrials,90937434112.0,39.83955,0.0005781889600085963,0.020791635180922828
CEREBRAINT.NS,Technology,1242163840.0,,0.002960469107957359,0.030350786477648765
CESC.NS,Utilities,242447106048.0,17.208097,0.002340142909800562,0.029571918496198668
CGCL.NS,Financial Services,170432610304.0,53.24742,-0.000688023975989035,0.023291248269173146
CGPOWER.NS,Industrials,1094780977152.0,123.49138,0.001944077641834463,0.024934510624864927
CHALET.NS,Consumer Cyclical,194686337024.0,232.30469,0.0004449984353150653,0.021841997648055698
CHAMBLFERT.NS,Basic Materials,193374683136.0,12.658011,0.0020246403869711663,0.034752420679947216
CHEMBOND.NS,Basic Materials,7795308544.0,18.51615,0.0006715636907600692,0.0342884040346691
CHEMCON.NS,Basic Materials,9060603904.0,47.65896,7.19737199518452e-05,0.019757706549864966
CHEMFAB.NS,Basic Materials,14495898624.0,113.62262,0.005123155181493613,0.03231941376392167
CHENNPETRO.NS,Energy,93032153088.0,12.985866,-0.0019435152767136815,0.03200409814745553
CHOLAFIN.NS,Financial Services,1059522478080.0,27.550262,0.00018933317821294372,0.020383584136004575
